Ch_6,Ch_12,Ch_22,Ch_38,Ch_39,Ch_51,Ch_60,Ch_64,Ch_73,Ch_90
14,0,19,31,17,17,11,10,16,8
16,0,19,27,12,13,9,9,20,8
14,3,28,25,13,13,5,5,14,10
16,7,27,25,18,16,8,20,10,8
9,3,39,35,16,18,13,8,13,5
14,1,24,22,22,20,6,7,14,11
11,4,39,33,15,16,20,16,36,23
16,1,33,25,14,15,2,9,22,10
12,4,32,38,17,21,9,7,27,14
28,2,20,12,25,25,10,18,19,10
11,3,25,16,18,20,9,13,19,8
23,15,28,10,14,14,9,9,13,9
30,18,33,36,11,11,4,9,25,17
23,7,23,21,10,10,5,7,19,17
19,8,35,23,18,18,9,6,36,22
23,13,32,17,15,17,12,14,18,13
21,11,25,20,18,19,9,20,28,15
24,18,28,30,22,22,11,18,27,15
21,26,39,28,14,12,13,11,17,14
16,11,25,12,18,18,10,8,26,17
23,17,21,26,10,11,10,15,34,16
15,2,21,27,13,10,18,6,28,16
33,4,19,50,15,15,9,7,21,11
16,1,17,29,20,19,3,4,23,12
24,0,25,29,14,13,14,9,16,13
14,5,30,31,19,18,15,17,11,8
11,4,24,29,18,20,13,10,12,8
17,5,25,36,16,17,9,17,21,14
15,1,23,43,22,21,5,10,21,10
16,10,30,27,13,15,10,8,22,14
16,6,31,25,14,13,8,16,21,8
16,7,40,22,13,14,16,9,14,7
13,1,25,15,14,13,10,5,20,13
14,3,23,12,16,14,12,7,19,12
30,13,29,22,23,23,14,9,21,8
30,9,26,8,15,14,10,7,14,9
26,26,22,14,16,16,9,5,20,14
13,8,31,53,24,24,14,13,18,15
7,3,40,57,23,23,19,18,26,13
5,1,26,25,19,19,10,21,22,12
10,2,37,39,26,22,9,29,27,23
15,2,27,32,27,29,13,31,35,17
15,1,34,13,22,23,7,25,26,17
21,7,33,40,24,24,13,26,28,19
26,11,21,43,21,21,15,8,32,17
10,3,32,32,14,15,20,12,17,12
14,7,25,12,10,8,10,17,14,9
10,0,23,6,15,13,13,7,20,9
13,7,25,4,13,12,10,5,18,5
25,7,21,25,25,24,8,14,24,15
14,1,17,23,16,14,11,9,28,16
9,4,22,23,14,13,15,17,25,16
22,1,18,31,22,21,11,16,21,9
22,1,18,35,12,12,7,19,17,8
16,7,16,36,27,30,11,9,19,10
16,1,28,23,12,14,9,11,20,13
10,2,22,54,22,21,11,10,24,12
9,3,23,23,13,12,10,6,16,5
12,2,20,15,11,9,16,11,13,7
9,2,23,23,16,16,12,7,9,2
9,5,28,54,20,18,14,7,7,3
13,4,24,49,14,12,17,11,12,3
19,8,15,5,18,17,1,11,26,15
16,2,30,16,18,18,9,5,14,8
14,4,21,45,18,19,10,3,21,10
6,2,23,50,17,17,16,7,23,11
19,7,19,22,19,18,0,12,15,7
13,1,33,24,21,21,12,12,24,12
5,0,22,16,10,9,9,14,26,15
20,4,38,6,16,15,4,10,18,13
15,6,28,12,18,20,8,12,19,12
16,0,23,9,20,19,7,16,24,15
4,8,23,15,13,11,14,24,21,12
7,5,33,18,21,22,11,10,23,11
15,8,25,11,17,19,9,12,19,8
8,4,33,39,21,19,11,13,20,9
4,1,29,39,20,20,14,6,19,7
7,7,39,59,19,17,16,5,15,6
9,4,29,37,21,20,12,4,12,7
19,4,28,49,18,18,12,17,15,4
10,5,36,27,20,22,15,7,18,7
12,1,31,27,28,27,11,5,19,6
9,8,30,35,15,13,10,7,13,9
5,2,24,45,25,24,13,8,21,10
11,9,25,40,15,15,16,10,21,6
10,12,32,43,22,26,11,10,18,9
10,9,28,55,18,19,12,5,23,20
11,3,17,21,10,10,7,9,18,12
9,4,18,22,13,12,10,4,13,9
7,2,18,19,16,15,9,12,14,10
5,1,28,30,27,26,13,5,12,8
6,3,21,33,15,14,13,6,12,12
8,2,21,20,12,11,6,7,15,10
15,9,25,32,18,18,6,10,18,10
9,6,31,25,19,20,7,11,12,8
11,8,24,13,18,16,5,11,13,7
13,3,34,8,17,18,7,13,19,14
9,10,32,22,20,20,15,13,29,18
11,14,38,29,13,14,9,8,27,13
20,13,34,20,16,15,6,9,21,16
25,14,20,13,16,18,5,8,13,12
23,13,27,10,22,22,2,13,23,20
34,8,33,43,16,17,8,9,13,12
27,20,25,33,16,15,7,14,24,14
14,10,23,37,16,14,7,13,16,13
8,4,29,11,15,15,11,10,17,12
8,0,24,16,16,14,14,12,34,17
10,7,24,28,26,23,16,27,37,24
19,3,25,16,31,29,12,17,31,19
7,9,22,49,32,29,21,11,14,9
8,7,33,9,14,15,5,3,22,10
9,1,37,14,33,29,11,14,27,13
17,5,33,20,27,29,10,14,30,22
13,1,31,30,28,29,15,13,25,17
10,4,21,30,20,21,20,7,16,10
14,1,29,31,23,29,9,7,21,8
21,5,22,20,22,23,10,19,21,11
19,4,24,11,8,7,15,15,21,14
16,10,29,9,8,7,9,17,19,13
17,23,34,25,21,21,9,11,17,16
13,5,29,16,21,24,9,22,28,12
13,4,29,15,17,17,16,14,23,13
8,3,28,15,17,14,13,9,16,9
28,6,21,6,17,18,7,17,40,17
17,3,27,13,21,22,13,14,29,16
12,17,28,34,24,26,20,22,22,15
9,7,29,26,21,19,20,13,30,15
11,5,32,29,20,18,12,11,26,18
16,11,23,19,21,20,7,12,19,15
10,14,31,39,25,26,18,36,25,17
4,6,16,32,15,15,15,16,23,15
11,5,26,24,24,20,19,11,20,9
10,5,31,30,13,13,10,6,22,12
10,5,35,14,17,15,4,13,16,8
11,8,34,28,23,24,9,10,19,11
14,5,32,34,27,27,17,6,28,16
12,1,26,22,15,15,18,8,9,7
12,7,26,16,20,18,14,9,21,8
12,8,37,30,17,17,7,9,15,11
11,5,30,13,16,16,15,15,22,16
16,15,27,9,20,20,8,11,25,14
25,23,30,18,22,19,11,9,28,20
10,9,28,23,16,14,7,10,23,13
17,1,24,22,18,17,11,9,14,16
20,4,21,6,17,13,17,14,20,17
25,5,22,20,17,16,13,18,14,10
18,4,29,24,14,16,10,29,36,25
12,1,25,26,23,21,10,10,15,9
7,9,30,58,29,28,23,15,21,7
20,12,37,20,25,25,11,7,18,7
17,2,26,12,20,17,8,10,22,17
20,13,27,15,15,11,8,10,23,11
22,8,38,16,11,9,3,17,25,13
17,34,27,31,13,14,12,18,19,10
18,30,41,38,14,14,5,15,19,18
20,24,30,33,15,13,10,17,23,13
14,13,28,20,15,14,9,13,25,24
25,5,23,32,23,22,8,12,25,20
30,10,25,23,14,13,11,7,34,23
15,2,28,23,13,14,14,10,31,20
12,1,23,17,16,15,19,26,29,19
7,1,32,19,18,15,12,20,25,15
12,8,28,17,26,25,16,10,24,12
15,3,13,20,20,18,9,10,25,14
17,1,23,18,21,22,9,11,23,10
18,1,25,4,11,9,12,7,21,13
15,7,28,15,24,22,11,12,25,15
26,13,42,10,12,12,5,8,32,25
20,17,32,21,15,14,10,14,27,20
19,19,21,10,24,22,13,3,23,17
21,4,35,20,12,12,8,8,25,18
16,12,29,6,18,17,9,11,24,13
15,7,25,2,26,26,12,12,17,13
7,4,30,18,22,21,10,8,24,14
16,7,29,19,15,15,10,7,18,12
19,3,37,16,16,15,5,9,21,12
8,5,28,12,21,18,8,13,33,18
6,2,31,28,22,23,15,11,27,15
14,4,31,18,17,15,11,4,18,11
12,4,38,32,14,12,9,6,26,11
15,3,39,31,14,12,9,10,18,11
18,9,26,21,22,18,4,11,37,13
14,6,40,15,12,11,5,15,23,13
10,2,30,20,16,15,14,9,32,13
11,3,23,34,14,14,6,7,25,18
8,0,27,17,17,19,13,17,21,16
18,8,31,8,19,16,7,10,23,12
21,17,31,5,15,13,13,4,19,16
9,3,25,20,17,16,12,8,21,15
19,12,34,16,12,11,11,8,27,22
17,11,20,6,17,14,13,11,26,16
17,8,22,8,17,15,12,9,22,12
20,5,23,5,15,11,2,9,13,17
27,5,32,12,16,15,10,10,13,10
11,3,29,18,16,13,21,8,18,11
17,2,40,12,19,17,7,11,16,17
11,5,24,12,19,14,14,7,23,21
13,0,26,16,17,14,16,2,11,15
14,3,38,16,19,16,14,14,20,12
10,3,30,20,19,17,15,6,16,15
18,8,25,21,13,12,15,5,21,16
15,1,24,11,17,17,9,9,27,15
16,8,18,10,16,15,12,9,15,11
13,2,28,17,16,16,7,5,24,21
12,4,35,14,11,11,13,7,20,13
22,4,31,13,16,15,10,4,21,12
17,5,37,5,11,11,10,8,28,23
6,2,38,23,16,16,14,9,23,20
7,2,35,50,17,15,8,9,24,15
21,5,28,19,15,16,12,7,19,10
8,0,27,41,10,10,13,7,13,10
9,0,40,29,17,14,10,7,29,15
12,6,31,24,15,17,6,10,33,14
12,4,36,30,32,32,15,5,28,18
18,16,31,22,19,19,9,8,24,13
18,3,18,4,14,13,7,12,21,15
13,3,30,15,17,13,7,9,26,19
3,1,30,24,22,22,9,8,18,18
9,0,25,14,15,15,6,5,23,16
13,1,25,15,16,13,3,5,24,14
12,3,29,25,15,14,11,5,21,11
6,1,39,50,13,14,16,6,23,14
4,11,23,25,18,17,11,7,22,13
9,14,22,16,19,18,6,9,19,14
23,10,30,6,11,11,6,12,18,16
18,7,19,18,11,9,15,11,37,20
21,5,27,15,19,19,11,11,25,27
26,17,32,7,15,15,6,13,21,22
26,12,25,12,9,10,7,12,15,18
25,8,28,22,20,18,10,22,28,21
25,8,21,19,10,9,10,12,47,32
24,6,28,16,22,18,3,29,34,23
22,3,30,17,26,25,9,14,21,17
11,2,27,22,20,17,13,6,18,16
12,1,31,11,14,15,15,20,22,11
7,12,17,19,28,28,18,23,26,14
10,6,26,17,24,22,18,23,24,14
6,6,22,39,28,24,16,11,28,14
12,21,35,24,21,23,15,7,22,13
13,26,22,28,17,18,14,10,36,15
6,10,26,29,21,19,11,9,25,19
7,16,18,18,24,25,11,8,22,17
14,9,25,15,19,20,5,13,20,15
19,11,18,10,25,24,7,7,18,17
13,4,28,14,21,18,15,4,23,17
5,7,25,22,22,23,10,3,24,12
4,1,23,25,29,28,5,16,18,8
9,21,22,32,23,20,9,12,20,10
14,16,25,9,17,18,11,12,17,7
8,3,24,18,28,30,14,6,16,8
12,7,28,32,16,15,17,7,7,5
10,13,36,48,24,22,17,6,20,14
8,6,28,6,21,18,8,17,12,10
8,10,26,9,26,26,11,14,17,5
5,8,18,28,22,20,15,18,20,11
4,8,20,16,19,16,10,9,27,14
6,17,38,26,23,24,19,11,13,6
9,14,26,10,19,19,7,8,13,9
10,8,26,17,20,19,8,7,15,6
7,3,32,38,17,16,10,10,20,13
3,13,44,24,18,16,9,7,16,12
3,13,24,46,23,21,15,4,16,9
6,25,29,20,27,26,12,11,21,14
9,5,32,16,29,27,18,12,13,10
20,4,34,14,16,19,13,18,26,12
13,8,21,13,18,18,11,9,16,6
6,8,22,20,23,22,5,9,17,11
12,9,34,14,17,18,19,18,31,22
10,20,26,5,19,14,12,7,21,8
9,11,31,9,23,22,11,10,17,11
7,8,35,47,22,18,16,5,13,9
8,13,30,34,21,19,10,13,21,11
6,5,20,24,19,20,17,12,12,9
8,13,26,24,21,21,15,8,17,15
1,4,23,33,15,14,20,12,13,7
6,4,27,17,21,18,13,9,24,13
9,5,41,7,18,15,2,7,13,6
8,20,33,28,19,18,13,15,13,9
3,7,25,13,20,18,6,5,17,12
6,16,33,30,19,20,11,5,27,14
8,9,17,20,16,14,6,7,13,12
8,7,29,17,22,19,13,12,17,8
9,10,29,20,23,19,18,9,10,5
8,18,32,19,18,18,11,9,10,7
7,25,39,35,25,22,14,3,15,9
8,15,28,18,15,14,10,5,10,4
13,18,31,6,16,16,6,12,25,16
9,10,29,16,16,15,12,9,18,10
8,25,22,27,14,15,21,5,22,17
9,37,37,33,23,29,11,11,18,12
7,21,29,15,18,18,11,8,15,9
2,11,34,29,20,21,20,10,21,12
7,9,26,35,17,16,13,9,12,8
6,7,18,19,16,13,15,4,24,11
10,13,26,21,22,20,9,11,12,7
9,9,36,16,22,20,13,6,14,15
8,4,20,20,18,14,11,9,20,11
8,3,25,3,21,18,10,6,20,13
10,0,32,8,20,19,9,4,16,8
5,1,27,6,17,17,7,4,21,12
8,16,33,11,21,19,15,5,16,4
8,20,32,5,22,21,12,11,16,6
10,13,30,5,16,15,17,7,17,9
9,3,29,15,19,17,12,11,15,9
19,21,25,9,18,17,15,10,14,12
26,24,33,21,24,25,7,4,25,22
25,15,28,10,26,24,6,11,23,15
22,8,20,12,24,25,15,13,28,19
13,5,27,20,15,14,17,8,25,26
16,12,26,15,21,21,16,7,25,16
15,2,30,21,12,10,16,9,25,17
12,21,25,10,20,18,6,11,24,12
18,19,16,8,20,20,11,6,26,14
16,20,28,3,19,17,9,7,16,11
11,11,25,12,18,15,11,4,34,16
15,10,22,7,17,17,16,7,21,17
14,27,30,23,21,20,9,10,18,19
16,5,16,53,24,24,9,18,25,20
17,19,20,41,12,12,13,11,5,4
16,25,16,16,16,12,9,9,18,8
9,11,25,10,9,9,15,12,20,5
7,3,26,25,16,17,19,11,25,14
11,6,21,31,20,17,8,11,18,12
14,9,25,13,16,13,7,11,22,15
12,9,33,20,25,22,9,11,26,15
13,1,48,37,24,25,12,6,20,12
16,1,24,46,24,23,15,7,24,15
12,3,29,48,30,27,9,10,23,16
10,3,27,21,14,12,9,6,18,9
14,0,13,23,21,18,13,10,18,10
24,3,22,9,17,17,12,11,16,10
17,11,24,14,15,13,10,16,17,16
17,16,27,19,26,23,12,13,25,14
11,2,29,25,23,23,14,14,23,12
12,3,21,12,27,24,20,15,18,9
9,7,28,17,14,11,8,17,21,11
6,1,33,33,19,17,13,9,23,6
10,7,31,12,19,17,15,6,19,11
9,4,26,24,20,17,18,6,16,10
7,3,34,29,22,21,10,4,22,10
18,17,28,8,14,12,9,8,21,14
15,22,21,31,22,20,18,6,21,13
7,6,25,24,17,14,18,17,22,15
20,12,26,14,12,10,5,9,21,17
21,21,28,22,22,21,7,12,26,19
12,8,24,45,22,20,12,14,26,24
21,24,29,32,18,15,4,15,17,11
19,19,25,45,19,16,15,15,21,17
24,12,17,37,17,16,6,23,28,21
23,6,26,35,20,15,3,17,31,35
20,13,29,32,13,10,7,19,22,18
17,18,25,45,15,11,12,10,24,17
20,8,25,22,14,11,7,13,35,19
14,8,28,31,17,16,9,27,26,20
11,1,18,34,19,18,9,11,32,23
3,1,20,24,20,19,25,18,31,21
5,2,16,21,18,18,15,8,33,14
15,4,15,21,24,20,16,12,25,14
5,3,18,7,20,18,13,17,34,25
6,6,20,4,18,17,11,11,21,15
9,3,18,5,23,21,13,5,16,17
3,0,21,20,30,27,17,10,20,11
10,5,19,12,24,23,10,7,23,14
9,15,15,5,18,18,8,8,26,16
8,0,30,22,27,25,9,9,21,10
6,4,34,20,21,21,9,7,23,14
11,11,26,8,17,13,4,9,15,9
11,4,31,17,19,21,7,17,15,6
8,12,30,15,14,13,4,11,18,4
15,7,16,3,18,16,4,6,13,6
12,13,27,3,19,18,12,7,16,8
7,7,29,14,21,19,9,7,14,7
11,3,34,10,21,19,8,15,16,13
16,9,18,5,22,19,6,8,12,9
8,6,20,15,15,13,15,4,20,8
10,7,31,6,21,19,7,6,20,13
9,14,25,19,34,29,15,10,15,8
10,4,37,33,17,21,18,11,20,9
12,0,17,13,11,12,8,7,13,7
12,4,22,8,25,22,8,9,11,7
9,2,26,19,20,20,8,10,7,5
5,9,32,9,20,17,9,4,14,4
18,15,28,8,16,14,4,11,21,6
19,14,18,25,18,15,14,14,18,7
15,1,17,23,25,20,6,15,30,5
10,1,24,17,21,18,19,12,17,10
6,3,29,24,19,17,12,15,23,9
6,8,31,16,16,17,9,8,27,15
7,16,24,17,25,24,6,9,20,8
13,5,16,17,15,16,9,2,15,6
10,1,26,8,18,16,10,13,15,8
24,14,30,16,19,18,7,13,30,24
28,35,21,21,21,18,3,18,33,25
13,16,23,34,33,32,7,9,24,17
14,15,22,34,14,10,7,17,15,14
12,6,19,26,15,12,4,14,21,14
17,10,25,14,18,17,13,24,19,21
11,6,24,16,19,16,11,26,29,15
4,3,16,17,33,32,16,31,16,10
2,5,16,17,27,26,12,32,26,14
6,8,25,41,20,19,14,17,16,14
4,3,28,25,22,19,12,14,22,19
7,6,16,10,12,11,10,8,22,11
7,5,31,4,18,14,10,13,18,12
2,0,30,30,18,15,15,15,20,13
10,5,25,30,16,14,14,15,25,18
9,1,28,36,20,19,16,15,16,11
2,3,24,28,14,13,13,14,7,4
10,24,25,15,19,19,12,19,17,6
7,8,17,18,15,14,18,20,21,8
9,5,23,30,14,11,10,10,16,6
9,12,20,43,15,13,11,22,19,11
14,17,33,25,19,20,9,11,15,11
15,2,21,19,23,21,11,11,28,13
8,2,20,23,23,22,18,18,21,11
14,11,33,34,22,20,9,13,23,13
9,8,24,18,21,20,8,12,23,14
6,12,21,42,21,19,12,19,17,12
9,4,22,31,19,20,10,13,16,11
6,5,21,8,7,6,11,9,12,6
6,12,23,11,17,15,9,17,24,10
13,2,35,30,26,21,15,13,18,11
9,10,23,26,20,17,10,16,28,15
5,10,20,13,17,13,15,17,27,11
8,15,21,23,17,15,11,22,25,9
13,0,26,47,23,20,13,14,20,12
13,4,20,20,17,19,13,13,16,8
13,11,29,12,15,14,5,11,21,9
7,11,32,7,17,14,20,26,22,10
14,16,25,14,18,17,14,11,20,11
6,3,29,39,15,14,12,13,29,11
8,12,34,21,12,11,11,25,23,13
11,2,20,12,17,15,19,25,14,11
6,2,25,15,20,18,14,26,20,13
10,0,23,35,18,17,20,29,37,15
7,3,26,17,20,20,9,15,15,11
11,4,19,53,13,11,12,10,24,15
11,4,25,26,8,8,13,10,24,13
11,4,23,45,21,19,19,19,25,14
8,1,23,12,14,13,13,13,23,15
11,8,31,33,21,20,19,18,24,13
11,7,15,28,21,20,12,10,27,16
16,15,18,18,24,23,17,19,20,8
17,3,28,16,16,14,5,8,18,9
11,5,18,26,18,16,8,10,17,4
10,1,18,28,21,19,9,19,24,11
10,2,41,28,15,15,12,9,23,11
15,1,17,19,20,18,8,15,24,12
14,1,21,34,19,18,13,14,25,13
13,9,22,36,18,16,14,22,32,10
14,0,21,39,16,14,11,11,29,14
21,0,34,29,15,14,7,10,20,9
13,0,25,18,19,18,14,12,21,12
16,8,22,18,25,22,14,18,17,8
13,4,20,28,26,22,5,11,16,9
7,10,19,34,19,18,18,12,19,11
14,2,24,26,14,12,9,16,24,13
20,7,28,13,14,14,10,11,21,9
18,17,20,12,13,12,13,10,10,4
13,8,26,43,24,23,15,11,19,4
24,6,24,13,11,8,5,11,22,14
23,3,13,6,15,11,11,17,17,10
8,1,24,38,20,19,18,14,14,8
12,3,20,47,24,23,14,12,15,9
15,7,20,25,11,9,11,13,28,9
13,5,25,14,18,15,12,13,25,8
18,2,35,40,18,17,14,12,22,9
16,6,17,17,22,19,5,18,10,5
14,6,25,21,17,13,9,16,16,13
8,0,25,23,18,16,13,13,28,24
6,1,19,39,16,14,20,22,21,14
17,5,23,13,17,14,7,6,17,10
25,7,13,8,18,16,10,15,19,10
17,1,19,29,18,15,20,17,19,10
13,3,10,28,13,13,14,13,19,9
19,3,15,49,13,12,12,10,20,6
14,2,21,26,17,15,14,10,15,10
22,5,25,10,16,13,6,18,19,14
20,16,32,19,16,13,3,20,24,22
24,9,26,24,19,16,6,23,29,19
13,21,32,38,18,21,16,24,15,11
16,9,28,15,20,20,9,21,17,11
12,11,33,15,19,20,12,16,30,23
12,18,31,16,24,22,15,19,19,9
5,12,19,8,14,13,13,11,28,17
10,19,24,27,18,19,5,16,25,14
15,26,37,33,25,24,12,16,28,19
19,19,31,23,20,18,6,9,25,16
13,13,33,25,23,22,10,14,19,19
8,10,41,49,23,23,15,13,23,18
12,9,25,48,20,19,10,9,20,17
5,10,35,44,24,24,18,6,25,14
23,15,33,34,28,30,15,4,25,13
11,8,35,15,22,21,16,14,17,9
7,3,24,17,20,17,19,15,17,12
7,17,26,28,21,22,16,11,19,14
9,9,41,49,32,28,20,7,25,17
13,5,42,38,33,33,13,8,29,18
15,4,40,37,23,21,14,9,24,14
12,7,38,21,23,21,8,14,16,10
10,6,33,18,17,17,13,16,17,11
10,7,34,25,25,27,19,7,27,16
17,11,36,28,21,20,14,14,18,9
14,14,30,49,33,33,12,10,21,13
9,13,34,32,21,21,15,10,21,13
7,22,38,26,22,21,7,7,21,11
8,13,50,24,23,23,19,15,27,14
10,14,29,10,21,20,6,16,28,14
15,14,40,32,21,20,14,17,22,15
9,13,33,21,17,14,19,18,16,11
9,6,34,24,21,20,14,11,14,8
12,38,32,23,14,11,7,17,28,18
12,11,32,26,17,16,10,4,17,16
8,3,39,40,21,19,15,8,16,14
8,5,31,28,26,23,9,11,14,13
12,9,28,28,19,19,14,6,19,16
9,7,30,38,18,17,9,9,22,14
9,3,27,44,19,20,16,14,17,8
5,14,26,34,31,31,12,5,14,8
7,19,38,45,22,21,14,8,22,13
13,6,35,49,26,24,17,7,18,18
8,21,28,43,21,17,6,2,21,17
16,18,24,13,16,16,2,5,21,19
15,9,37,36,19,15,9,0,12,11
10,3,31,14,24,25,14,4,19,12
9,12,35,12,17,16,12,5,10,7
13,8,42,29,28,27,15,12,17,11
13,15,32,20,17,16,20,8,21,10
10,24,25,21,20,20,18,16,15,14
10,17,19,46,24,22,14,8,19,15
5,15,23,44,23,21,10,10,24,16
5,7,27,62,20,20,11,5,20,14
10,13,31,45,26,23,10,9,30,19
17,13,24,33,22,20,17,8,25,16
13,5,29,32,26,24,18,8,23,21
13,0,39,35,22,21,8,4,24,20
14,8,33,39,23,23,9,6,16,11
7,0,28,31,13,14,6,11,16,9
9,8,34,21,20,19,13,11,19,11
16,6,32,28,30,25,15,8,19,13
6,8,43,54,20,21,21,9,14,6
10,18,34,46,22,21,10,7,26,12
16,5,32,49,22,21,13,6,20,12
18,7,24,44,23,21,12,4,15,11
11,18,35,13,19,14,8,3,11,6
11,7,30,33,24,24,9,8,23,11
15,7,30,32,20,20,10,12,18,10
10,0,27,54,18,17,26,9,21,12
0,0,38,67,14,13,17,9,20,13
8,2,34,39,24,21,12,9,34,17
8,8,24,32,21,19,8,7,26,18
10,18,30,42,20,16,6,7,16,8
11,4,15,40,19,18,13,8,12,6
6,0,13,33,18,16,7,8,9,3
5,3,33,37,13,12,8,5,18,10
11,21,27,50,23,22,12,8,28,18
4,10,28,35,19,20,9,8,20,10
12,11,17,34,24,23,13,8,20,10
12,8,25,30,16,17,10,5,15,10
9,0,22,31,17,17,12,10,18,11
10,6,20,30,16,18,13,12,29,14
3,4,24,48,21,22,12,8,29,18
11,2,37,38,19,17,10,10,9,7
17,12,31,24,21,19,8,12,16,10
15,11,30,9,9,7,11,16,12,14
15,11,27,4,18,18,14,14,20,20
12,3,27,4,11,10,14,8,13,6
11,3,24,14,25,22,16,9,16,10
11,3,22,39,18,19,13,17,14,11
5,3,18,26,12,11,13,9,16,8
10,3,43,56,18,19,13,19,15,11
16,21,24,25,20,18,6,7,24,13
8,9,32,20,19,17,11,2,17,8
8,10,31,31,16,13,11,12,14,8
13,2,35,26,18,18,13,16,23,13
12,1,23,18,18,16,13,12,19,9
13,3,27,25,19,18,12,19,14,8
26,6,24,19,19,17,6,15,25,9
14,23,31,22,18,17,8,17,18,8
10,8,27,18,18,16,15,16,14,7
16,1,22,27,17,16,14,21,17,10
10,1,16,47,17,16,20,12,18,12
10,4,20,31,16,15,12,10,15,4
2,0,24,32,14,13,12,7,32,14
9,1,21,56,15,17,11,15,23,12
10,8,22,43,13,14,5,7,21,10
5,2,24,25,19,19,9,6,20,14
5,2,17,26,20,19,14,12,17,9
10,6,17,33,19,20,13,17,11,6
9,4,33,17,20,19,23,10,17,10
8,14,20,17,16,15,9,10,13,8
14,18,30,19,18,17,9,12,16,11
